iter	Passed	Remaining
247	1484	4501
248	1491	4497
249	1495	4487
250	1500	4477
251	1506	4471
252	1509	4458
253	1513	4444
254	1516	4431
255	1522	4425
256	1527	4416
257	1531	4403
258	1539	4403
259	1543	4393
260	1554	4400
261	1559	4393
262	1563	4381
263	1571	4380
264	1575	4368
265	1578	4356
266	1587	4359
267	1593	4351
268	1601	4352
269	1606	4343
270	1609	4330
271	1618	4333
272	1624	4324
273	1635	4332
274	1640	4325
275	1657	4348
276	1674	4370
277	1682	4368
278	1686	4357
279	1690	4345
280	1697	4344
281	1703	4336
282	1706	4324
283	1714	4322
284	1717	4309
285	1722	4299
286	1728	4294
287	1732	4282
288	1736	4271
289	1744	4270
290	1749	4261
291	1755	4255
292	1761	4249
293	1766	4241
294	1770	4231
295	1775	4223
296	1779	4212
297	1783	4200
298	1790	4196
299	1794	4187
300	1798	4176
301	1804	4170
302	1808	4161
303	1813	4151
304	1820	4149
305	1824	4137
306	1827	4126
307	1831	4115
308	1837	4108
309	1840	4096
310	1844	4085
311	1850	4079
312	1853	4068
313	1857	4057
314	1860	4045
315	1868	4044
316	1873	4036
317	1877	4026
318	1883	4020
319	1886	4009
320	1890	3998
321	1896	3994
322	1900	3983
323	1903	3972
324	1907	3961
325	1913	3956
326	1917	3945
327	1920	3935
328	1924	3924
329	1929	3917
330	1933	3907
331	1938	3901
332	1944	3895
333	1948	3884
334	1952	3875
335	1955	3864
336	1961	3859
337	1967	3853
338	1971	3843
339	1975	3834
340	1979	3824
341	1983	3815
342	1989	3810
343	1993	3802
344	1998	3794
345	2009	3797
346	2014	3790
347	2020	3786
348	2024	3776
349	2028	3766
350	2031	3756
351	2037	3750
352	2041	3741
353	2045	3732
354	2051	3727
355	2057	3722
356	2066	3721
357	2072	3715
358	2075	3706
359	2087	3710
360	2093	3705
361	2101	3703
362	2106	3696
363	2111	3689
364	2118	3686
365	2123	3678
366	2129	3672
367	2134	3666
368	2151	3679
369	2157	3674
370	2166	3673
371	2171	3665
372	2176	3658
373	2181	3652
374	2187	3645
375	2193	3639
376	2197	3631
377	2201	3621
378	2204	3612
379	2210	3606
380	2214	3598
381	2218	3589
382	2226	3587
383	2232	3581
384	2236	3572
385	2242	3567
386	2247	3560
387	2251	3550
388	2258	3547
389	2263	3540
390	2270	3535
391	2275	3529
392	2278	3519
393	2283	3511
394	2290	3508
395	2295	3501
396	2302	3496
397	2307	3490
398	2312	3483
399	2319	3479
400	2324	3471
401	2328	3464
402	2337	3462
403	2341	3454
404	2344	3444
405	2353	3442
406	2361	3441
407	2369	3437
408	2374	3431
409	2388	3436
410	2397	3435
411	2403	3430
412	2407	3422
413	2414	3417
414	2419	3410
415	2422	3401
416	2429	3397
417	2433	3388
418	2437	3379
419	2443	3374
420	2447	3366
421	2451	3357
422	2456	3351
423	2461	3344
424	2466	3337
425	2470	3329
426	2475	3321
427	2478	3312
428	2482	3303
429	2488	3298
430	2491	3289
431	2495	3280
432	2499	3272
433	2504	3266
434	2508	3257
435	2511	3249
436	2518	3244
437	2521	3235
438	2525	3227
439	2529	3219
440	2534	3212
441	2538	3204
442	2542	3196
443	2548	3191
444	2553	3184
445	2561	3181
446	2565	3174
447	2569	3165
448	2572	3157
449	2579	3152
450	2582	3144
451	2586	3136
452	2592	3130
453	2595	3121
454	2599	3113
455	2603	3105
456	2609	3100
457	2613	3092
458	2617	3085
459	2624	3081
460	2628	3072
461	2632	3065
462	2636	3057
463	2641	3051
464	2646	3045
465	2652	3040
466	2657	3033
467	2663	3027
468	2668	3020
469	2674	3015
470	2678	3007
471	2681	2999
472	2687	2994
473	2691	2986
474	2696	2979
475	2702	2974
476	2705	2966
477	2709	2958
478	2712	2950
479	2717	2944
480	2722	2937
481	2725	2929
482	2732	2924
483	2736	2917
484	2739	2909
485	2745	2903
486	2750	2897
487	2754	2890
488	2758	2882
489	2764	2877
490	2767	2869
491	2771	2861
492	2779	2858
493	2784	2851
494	2789	2845
495	2796	2842
496	2800	2834
497	2804	2826
498	2810	2821
499	2813	2813
500	2817	2806
501	2820	2798
502	2826	2792
503	2830	2785
504	2833	2777
505	2840	2772
506	2845	2767
507	2851	2761
508	2857	2756
509	2861	2749
510	2865	2742
511	2871	2736
512	2875	2729
513	2878	2721
514	2882	2714
515	2887	2708
516	2891	2701
517	2894	2693
518	2898	2686
519	2903	2680
520	2907	2673
521	2911	2666
522	2918	2662
523	2922	2654
524	2926	2647
525	2932	2642
526	2937	2636
527	2942	2630
528	2948	2625
529	2952	2618
530	2956	2610
531	2961	2605
532	2965	2597
533	2968	2590
534	2972	2583
535	2978	2578
536	2982	2571
537	2986	2564
538	2991	2558
539	2995	2551
540	2998	2544
541	3003	2537
542	3009	2532
543	3013	2525
544	3016	2518
545	3020	2511
546	3026	2506
547	3029	2499
548	3033	2491
549	3039	2486
550	3044	2480
551	3048	2474
552	3053	2468
553	3057	2461
554	3061	2454
555	3064	2447
556	3070	2442
557	3074	2435
558	3078	2428
559	3082	2421
560	3087	2416
561	3091	2409
562	3094	2402
563	3100	2396
564	3104	2390
565	3107	2382
566	3111	2375
567	3116	2370
568	3121	2364
569	3126	2358
570	3134	2354
571	3142	2351
572	3150	2347
573	3155	2342
574	3166	2340
575	3171	2334
576	3175	2327
577	3181	2322
578	3184	2315
579	3187	2308
580	3191	2301
581	3197	2296
582	3201	2289
583	3204	2283
584	3211	2277
585	3214	2271
586	3218	2264
587	3222	2258
588	3229	2253
589	3232	2246
590	3236	2239
591	3242	2234
592	3247	2228
593	3251	2222
594	3257	2217
595	3261	2210
596	3264	2203
597	3268	2197
598	3274	2192
599	3278	2185
600	3281	2178
601	3286	2172
602	3290	2166
603	3295	2160
604	3298	2153
605	3305	2148
606	3308	2142
607	3313	2136
608	3319	2131
609	3322	2124
610	3326	2117
611	3330	2111
612	3336	2106
613	3341	2100
614	3345	2094
615	3351	2089
616	3355	2082
617	3359	2076
618	3360	2068
619	3367	2064
620	3371	2057
621	3375	2051
622	3380	2045
623	3384	2039
624	3388	2032
625	3391	2026
626	3398	2021
627	3402	2015
628	3406	2009
629	3413	2004
630	3416	1998
631	3420	1991
632	3427	1987
633	3433	1982
634	3444	1980
635	3449	1974
636	3453	1968
637	3458	1962
638	3462	1956
639	3465	1949
640	3470	1943
641	3478	1939
642	3482	1933
643	3487	1927
644	3492	1922
645	3496	1915
646	3499	1909
647	3505	1904
648	3510	1898
649	3514	1892
650	3517	1885
651	3521	1879
652	3524	1872
653	3528	1866
654	3534	1861
655	3539	1856
656	3544	1850
657	3550	1845
658	3555	1839
659	3560	1834
660	3567	1829
661	3572	1824
662	3577	1818
663	3583	1813
664	3588	1807
665	3592	1801
666	3598	1796
667	3603	1790
668	3607	1784
669	3612	1779
670	3617	1773
671	3620	1767
672	3624	1761
673	3630	1756
674	3635	1750
675	3639	1744
676	3645	1739
677	3649	1733
678	3653	1727
679	3659	1722
680	3663	1716
681	3666	1709
682	3671	1703
683	3674	1697
684	3678	1691
685	3682	1685
686	3688	1680
687	3691	1674
688	3694	1667
689	3698	1661
690	3706	1657
691	3710	1651
692	3714	1645
693	3721	1641
694	3726	1635
695	3730	1629
696	3736	1624
697	3740	1618
698	3744	1612
699	3749	1607
700	3753	1600
701	3756	1594
702	3761	1589
703	3767	1584
704	3772	1578
705	3776	1572
706	3783	1568
707	3787	1562
708	3792	1556
709	3798	1551
710	3801	1545
711	3805	1539
712	3808	1533
713	3815	1528
714	3820	1522
715	3823	1516
716	3830	1511
717	3833	1505
718	3836	1499
719	3840	1493
720	3846	1488
721	3851	1483
722	3855	1477
723	3861	1472
724	3865	1466
725	3869	1460
726	3875	1455
727	3879	1449
728	3882	1443
729	3886	1437
730	3891	1431
731	3895	1426
732	3898	1420
733	3905	1415
734	3910	1410
735	3915	1404
736	3923	1400
737	3926	1393
738	3929	1387
739	3938	1383
740	3942	1377
741	3946	1372
742	3955	1368
743	3962	1363
744	3971	1359
745	3975	1353
746	3982	1348
747	3986	1343
748	3991	1337
749	3998	1332
750	4003	1327
751	4009	1322
752	4016	1317
753	4020	1311
754	4023	1305
755	4027	1299
756	4033	1294
757	4037	1289
758	4042	1283
759	4047	1278
760	4051	1272
761	4055	1266
762	4060	1261
763	4065	1255
764	4070	1250
765	4075	1245
766	4080	1239
767	4084	1233
768	4091	1229
769	4097	1223
770	4100	1218
771	4106	1212
772	4111	1207
773	4115	1201
774	4118	1195
775	4125	1190
776	4130	1185
777	4134	1179
778	4139	1174
779	4143	1168
780	4147	1162
781	4154	1158
782	4158	1152
783	4162	1146
784	4166	1141
785	4170	1135
786	4174	1129
787	4178	1124
788	4186	1119
789	4191	1114
790	4196	1108
791	4202	1103
792	4205	1097
793	4212	1092
794	4221	1088
795	4227	1083
796	4233	1078
797	4237	1072
798	4241	1066
799	4246	1061
800	4250	1055
801	4253	1050
802	4257	1044
803	4263	1039
804	4266	1033
805	4270	1027
806	4274	1022
807	4280	1017
808	4284	1011
809	4293	1007
810	4301	1002
811	4308	997
812	4312	991
813	4314	985
814	4318	980
815	4321	974
816	4328	969
817	4333	964
818	4336	958
819	4342	953
820	4347	947
821	4351	942
822	4357	937
823	4361	931
824	4366	926
825	4371	920
826	4374	915
827	4378	909
828	4385	904
829	4388	898
830	4392	893
831	4396	887
832	4401	882
833	4405	876
834	4409	871
835	4416	866
836	4421	860
837	4425	855
838	4431	850
839	4436	844
840	4439	839
841	4446	834
842	4449	828
843	4453	823
844	4460	818
845	4465	812
846	4483	809
847	4497	806
848	4510	802
849	4515	796
850	4524	792
851	4530	787
852	4535	781
853	4543	776
854	4547	771
855	4552	765
856	4559	760
857	4564	755
858	4570	750
859	4575	744
860	4580	739
861	4588	734
862	4594	729
863	4598	723
864	4608	719
865	4615	714
866	4623	709
867	4627	703
868	4634	698
869	4639	693
870	4644	687
871	4650	682
872	4655	677
873	4660	671
874	4671	667
875	4676	661
876	4682	656
877	4685	651
878	4689	645
879	4693	639
880	4700	634
881	4704	629
882	4710	624
883	4717	619
884	4722	613
885	4735	609
886	4741	604
887	4750	599
888	4756	593
889	4770	589
890	4780	584
891	4786	579
892	4794	574
893	4799	569
894	4804	563
895	4814	558
896	4820	553
897	4829	548
898	4834	543
899	4841	537
900	4846	532
901	4851	527
902	4859	521
903	4865	516
904	4878	512
905	4890	507
906	4896	502
907	4902	496
908	4908	491
909	4918	486
910	4923	480
911	4926	475
912	4930	469
913	4936	464
914	4939	458
915	4944	453
916	4949	448
917	4953	442
918	4957	436
919	4960	431
920	4966	425
921	4969	420
922	4973	414
923	4976	409
924	4982	403
925	4986	398
926	4989	392
927	4995	387
928	4999	382
929	5002	376
930	5006	371
931	5012	365
932	5018	360
933	5022	354
934	5028	349
935	5032	344
936	5036	338
937	5040	333
938	5045	327
939	5049	322
940	5052	316
941	5058	311
942	5061	305
943	5065	300
944	5069	295
945	5075	289
946	5079	284
947	5082	278
948	5089	273
949	5092	268
950	5096	262
951	5099	257
952	5106	251
953	5109	246
954	5113	240
955	5117	235
956	5123	230
957	5127	224
958	5132	219
959	5138	214
960	5142	208
961	5146	203
962	5152	197
963	5156	192
964	5160	187
965	5168	181
966	5173	176
967	5178	171
968	5185	165
969	5189	160
970	5193	155
971	5199	149
972	5202	144
973	5206	138
974	5209	133
975	5216	128
976	5221	122
977	5225	117
978	5232	112
979	5235	106
980	5239	101
981	5245	96
982	5249	90
983	5252	85
984	5256	80
985	5262	74
986	5265	69
987	5269	64
988	5275	58
989	5278	53
990	5282	47
991	5286	42
992	5292	37
993	5296	31
994	5299	26
995	5308	21
996	5312	15
997	5316	10
998	5322	5
999	5326	0
