iter	RMSE
482	0.2175667034
483	0.2172739496
484	0.2169815633
485	0.2167512149
486	0.216527596
487	0.2162627845
488	0.216050345
489	0.2156002713
490	0.2155061906
491	0.2152086292
492	0.2148984744
493	0.2147528762
494	0.2144805657
495	0.214217707
496	0.2140576823
497	0.2138858113
498	0.2137211672
499	0.2132281249
500	0.2131391141
501	0.2126833104
502	0.2124006719
503	0.2121771002
504	0.2119892192
505	0.211821983
506	0.2113862698
507	0.2111873059
508	0.2108139495
509	0.210593705
510	0.2102129753
511	0.2099668293
512	0.209814711
513	0.2097146037
514	0.2095673115
515	0.2092437282
516	0.209090452
517	0.2088726961
518	0.2087571387
519	0.2086664245
520	0.2084918289
521	0.2082931807
522	0.2080618893
523	0.2077847248
524	0.2075792271
525	0.2074651794
526	0.2072664671
527	0.2069664579
528	0.2068306038
529	0.2067930614
530	0.2062480562
531	0.2060805007
532	0.2059133975
533	0.2057196803
534	0.2055245723
535	0.2053196614
536	0.205214574
537	0.2049495362
538	0.2046068416
539	0.2042875506
540	0.2041051731
541	0.2040741511
542	0.203984821
543	0.2037887425
544	0.2036620629
545	0.2034794443
546	0.2033847797
547	0.2030102821
548	0.2028236314
549	0.2026461049
550	0.2024835792
551	0.2020858015
552	0.2017905863
553	0.2017607859
554	0.2015937985
555	0.2013836604
556	0.2012276904
557	0.2011439776
558	0.2009264533
559	0.2007926738
560	0.2004181957
561	0.2003038652
562	0.200260639
563	0.2000690007
564	0.2000012365
565	0.1998053432
566	0.1994729787
567	0.1990381927
568	0.1989115834
569	0.1986911791
570	0.198292173
571	0.1981042458
572	0.1979172926
573	0.1977230755
574	0.1975233543
575	0.1972383242
576	0.1969067584
577	0.1966474786
578	0.1963573685
579	0.196175075
580	0.1957942753
581	0.1954040629
582	0.1951981554
583	0.1951656789
584	0.1949136055
585	0.1947531368
586	0.1945577067
587	0.1944196161
588	0.1942077139
589	0.1939716889
590	0.1937875888
591	0.1937328225
592	0.1933409853
593	0.1929778228
594	0.1927642463
595	0.1925094557
596	0.1923351187
597	0.1922087474
598	0.1919767659
599	0.191847536
600	0.1915899944
601	0.1914838681
602	0.1913535984
603	0.1911994855
604	0.1910324129
605	0.1906250159
606	0.1905412765
607	0.1903965686
608	0.1903573207
609	0.1902422714
610	0.1899426824
611	0.1898071422
612	0.1895937327
613	0.1895060543
614	0.1892503262
615	0.1890686035
616	0.1890121108
617	0.1887682411
618	0.1887344564
619	0.1885358917
620	0.1884190913
621	0.188320781
622	0.1882186474
623	0.1879782017
624	0.18783214
625	0.1877291013
626	0.1876687201
627	0.1876258117
628	0.1875107969
629	0.1873227286
630	0.1869907431
631	0.1868005454
632	0.1866825059
633	0.1865313019
634	0.1863490994
635	0.1862347534
636	0.1860964607
637	0.1857150927
638	0.1853946233
639	0.1853740144
640	0.1851180315
641	0.1847318751
642	0.1844345404
643	0.1843074281
644	0.1840521705
645	0.1837736322
646	0.1836465089
647	0.183427347
648	0.1832319959
649	0.1830780929
650	0.1829130038
651	0.1828560239
652	0.1825857937
653	0.1824383576
654	0.1821172793
655	0.1819475554
656	0.1817203316
657	0.181520739
658	0.1813826231
659	0.1811517741
660	0.1810587877
661	0.1808873901
662	0.1808343872
663	0.1807543857
664	0.1805759306
665	0.1805128459
666	0.1804234602
667	0.1802809035
668	0.1799352993
669	0.1797733454
670	0.1796628498
671	0.1795109341
672	0.1793060402
673	0.1791965709
674	0.1791188794
675	0.1790950593
676	0.1789400956
677	0.1788046619
678	0.1786974295
679	0.1786123178
680	0.1782515528
681	0.1781057979
682	0.1780003351
683	0.1778993341
684	0.1777309134
685	0.1775478139
686	0.1773173284
687	0.1768728644
688	0.1764253727
689	0.1762772642
690	0.1761285062
691	0.1760700847
692	0.1758967316
693	0.1757746968
694	0.1755489706
695	0.1752876692
696	0.1752683313
697	0.1748346856
698	0.1744125124
699	0.1743383791
700	0.1742883392
701	0.1742103584
702	0.1739292763
703	0.173569265
704	0.1732550018
705	0.1732069559
706	0.1730546331
707	0.1728483858
708	0.1726690807
709	0.1724896605
710	0.1724558588
711	0.1721880932
712	0.1718507006
713	0.1716732665
714	0.171545154
715	0.1714653696
716	0.1713820413
717	0.1712776684
718	0.1711587294
719	0.1711298279
720	0.1707835888
721	0.1706473808
722	0.1705914537
723	0.1704626546
724	0.1702521379
725	0.1699543636
726	0.1698409035
727	0.1696998518
728	0.1695406609
729	0.1695256318
730	0.1691921265
731	0.1689711879
732	0.1688420363
733	0.1687197377
734	0.1684339202
735	0.1681186199
736	0.1679319654
737	0.1677798407
738	0.1675472206
739	0.1674285954
740	0.1672758012
741	0.1671726646
742	0.1671033184
743	0.166995411
744	0.166785543
745	0.1666055399
746	0.1664205104
747	0.1663281988
748	0.1661187216
749	0.1659336978
750	0.1657299783
751	0.1656013577
752	0.1653085613
753	0.1649952231
754	0.1649182831
755	0.1648620445
756	0.1644936586
757	0.1642646095
758	0.1641994874
759	0.1639469141
760	0.1636826474
761	0.1633778625
762	0.1632889362
763	0.1631870812
764	0.163078763
765	0.1629595186
766	0.1628051655
767	0.1625501139
768	0.1624417355
769	0.1623211286
770	0.1621873091
771	0.1620010351
772	0.1618386102
773	0.1616485763
774	0.1616119705
775	0.161470309
776	0.1614083513
777	0.1612599092
778	0.1611805904
779	0.1609324187
780	0.1608686847
781	0.1606172402
782	0.1605503267
783	0.1604184635
784	0.1603730622
785	0.1601929223
786	0.1601101996
787	0.1599240081
788	0.159795927
789	0.1596941911
790	0.1595471473
791	0.1595055553
792	0.1594331756
793	0.1594023859
794	0.1592477809
795	0.1591434758
796	0.1590744685
797	0.1590239076
798	0.1589402455
799	0.1586475154
800	0.1585298016
801	0.1583082985
802	0.1582405124
803	0.1580193206
804	0.1579624703
805	0.1577666868
806	0.1575395811
807	0.1574425977
808	0.1573045307
809	0.1570796367
810	0.1570305973
811	0.1567897005
812	0.156628053
813	0.1566079582
814	0.1564170356
815	0.1561899745
816	0.1560557054
817	0.1556988881
818	0.1556311846
819	0.1555998081
820	0.1553131976
821	0.1552039926
822	0.1551045168
823	0.1550476014
824	0.1549921555
825	0.1548646453
826	0.1546129167
827	0.1545103307
828	0.1544116094
829	0.1542887208
830	0.1540057197
831	0.1537615751
832	0.1535937352
833	0.1534183484
834	0.1532219725
835	0.1531308498
836	0.1529254617
837	0.152783362
838	0.1526986903
839	0.1524921851
840	0.1524676367
841	0.1523320764
842	0.1521326694
843	0.1520595767
844	0.1518175139
845	0.1516922181
846	0.1516733564
847	0.1514072093
848	0.1511835386
849	0.1510607303
850	0.1508397747
851	0.1506127791
852	0.1504994889
853	0.1502348635
854	0.1501
855	0.1499918553
856	0.1497726569
857	0.1495245993
858	0.1494763979
859	0.1494056613
860	0.1491432926
861	0.1488907802
862	0.1486320515
863	0.1483842735
864	0.1481760154
865	0.1480960179
866	0.1478927514
867	0.1478067319
868	0.1477574068
869	0.1477229688
870	0.1474887806
871	0.1473392184
872	0.1471123347
873	0.1470838724
874	0.1468740216
875	0.1468364118
876	0.1468223773
877	0.1466773984
878	0.1464896934
879	0.1463780061
880	0.1461445376
881	0.146113557
882	0.1460009949
883	0.1457533353
884	0.1455275239
885	0.1455041457
886	0.1454760507
887	0.1454254542
888	0.1453754299
889	0.1452999344
890	0.1451427697
891	0.1451236365
892	0.1450208705
893	0.1449745564
894	0.1446275121
895	0.1444289417
896	0.1442697195
897	0.1442309445
898	0.144118145
899	0.1437824876
900	0.143651984
901	0.1435016951
902	0.1434162864
903	0.1432607995
904	0.1431802777
905	0.1431308768
906	0.1430355755
907	0.142860137
908	0.1426027199
909	0.1425635042
910	0.1425313478
911	0.1424836144
912	0.1423763451
913	0.1423169085
914	0.1422519608
915	0.1421274589
916	0.1418045286
917	0.1417382606
918	0.1416806899
919	0.141566231
920	0.141446672
921	0.1413892502
922	0.1412235079
923	0.1411723298
924	0.14110508
925	0.140974184
926	0.1408058266
927	0.1407869418
928	0.1406215447
929	0.1405078549
930	0.1403869477
931	0.1402159294
932	0.1401089342
933	0.1399915339
934	0.1399322855
935	0.1398131402
936	0.1397590955
937	0.139677252
938	0.1395917429
939	0.1394640831
940	0.1393060389
941	0.1392183533
942	0.1389404393
943	0.1388374601
944	0.1387761917
945	0.1387435737
946	0.1385255705
947	0.1382735687
948	0.1381594981
949	0.1380200713
950	0.1379465099
951	0.137814553
952	0.1376574461
953	0.1375022607
954	0.1374553174
955	0.137243169
956	0.1370436506
957	0.1369146052
958	0.1367844768
959	0.1366765687
960	0.1366005658
961	0.1364718535
962	0.136303662
963	0.1360910145
964	0.136048549
965	0.1359492426
966	0.1359012764
967	0.1357881811
968	0.1356328116
969	0.135513738
970	0.1354856479
971	0.1353832356
972	0.1352741161
973	0.1350744985
974	0.1350254534
975	0.1349695497
976	0.1347006005
977	0.1345799109
978	0.1344974644
979	0.1343179613
980	0.1341871777
981	0.1341341033
982	0.1339543837
983	0.1338780478
984	0.1337448877
985	0.1335431543
986	0.1334234118
987	0.1333767746
988	0.1331249023
989	0.1331185897
990	0.1330094558
991	0.1328219143
992	0.1326056882
993	0.1325797288
994	0.1325281711
995	0.1322560453
996	0.1321110224
997	0.1318877428
998	0.1317270293
999	0.1316547354
