iter	Passed	Remaining
0	20	583
1	30	433
2	37	341
3	45	298
4	51	255
5	53	214
6	63	208
7	68	189
8	76	177
9	80	160
10	88	153
11	92	139
12	98	128
13	103	118
14	111	111
15	117	103
16	127	97
17	137	91
18	143	82
19	149	74
20	155	66
21	161	58
22	169	51
23	175	43
24	183	36
25	189	29
26	197	21
27	201	14
28	209	7
29	213	0
